Frequency,Depth,Pitch,Speed,Behavioral State,Normalized Depth %,Individual,Species,Species_Num,Length ,Efficiency,Thrust Power,Drag Coefficient,Reynolds Number
0.41667,39.836,-2.6061,2.075,,,6,Minke ,1,8.6209,0.85859,3589.2,0.026629,17135000
0.4,39.999,-9.6815,2.1363,,,6,Minke ,1,8.6209,0.8719,3313.3,0.022524,17641000
0.27027,38.837,-4.2322,2.1538,,,6,Minke ,1,8.6209,0.94106,1062.6,0.0070499,17785000
0.4,39.443,-4.6394,2.4721,,,6,Minke ,1,8.6209,0.89638,3582.9,0.015719,20414000
0.35714,38.772,-0.021532,2.1022,,,6,Minke ,1,8.6209,0.88766,2501.1,0.017844,17359000
0.33333,40.999,-5.0441,2.7709,,,6,Minke ,1,8.6209,0.94863,1934,0.0060258,22881000
0.55556,41.626,-5.6121,2.9987,,,6,Minke ,1,8.6209,0.87232,8994.2,0.022108,24762000
0.3125,41.716,0.28625,1.8842,,,6,Minke ,1,8.6209,0.89081,1703.3,0.016877,15559000
0.28571,39.508,2.131,1.9693,,,6,Minke ,1,8.6209,0.91523,1316.6,0.011427,16262000
0.34483,38.834,0.67424,1.9943,,,6,Minke ,1,8.6209,0.88466,2231.2,0.018644,16468000
0.33333,38.731,-2.4797,2.001,,,6,Minke ,1,8.6209,0.89068,2056,0.017009,16523000
0.4,38.974,-4.5716,2.0314,,,6,Minke ,1,8.6209,0.8621,3219.2,0.025455,16774000
0.2381,36.956,12.131,2.1439,,,6,Minke ,1,8.6209,0.95002,779.32,0.0052419,17704000
0.43478,35.818,4.6187,2.2442,,,6,Minke ,1,8.6209,0.86534,4172,0.024468,18531000
0.35714,32.379,25.815,1.8614,,,6,Minke ,1,8.6209,0.86575,2340.3,0.024054,15370000
0.43478,30.003,28.928,2.2222,,,6,Minke ,1,8.6209,0.86238,4167.1,0.02517,18350000
0.43478,27.29,33.246,2.5964,,,6,Minke ,1,8.6209,0.89051,4533.2,0.017167,21440000
0.27027,41.023,-4.8808,2.4673,,,6,Minke ,1,8.6209,0.95025,1159.9,0.0051187,20374000
0.37037,40.072,-3.643,2.1783,,,6,Minke ,1,8.6209,0.88764,2786.5,0.017871,17987000
0.45455,44.683,-2.6178,2.4193,,,6,Minke ,1,8.6209,0.8692,4896.9,0.022923,19977000
0.3125,43.279,2.6685,2.2207,,,6,Minke ,1,8.6209,0.92048,1717.8,0.010397,18338000
0.37037,40.581,-5.4059,1.8546,,,6,Minke ,1,8.6209,0.85884,2538.1,0.026373,15314000
